timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
0.000047,0.610380,0.610380,0.000000,-6.092391,0.075198,-0.001038,1
0.001012,0.824898,0.824898,0.000000,-6.092007,0.079226,-0.001038,1
0.002004,1.040314,1.040314,0.000000,-6.092391,-0.123539,0.175878,1
0.003004,1.247932,1.247932,0.000000,-6.092007,0.193365,0.274453,1
0.004003,1.441255,1.441255,0.000000,-6.091624,0.088626,0.385998,1
0.005004,1.617156,1.617156,0.000000,-6.091624,0.119510,0.463820,1
0.006098,1.784970,1.784970,0.000000,-6.091624,0.298105,0.565508,1
0.007020,1.904628,1.904628,0.000000,-6.091240,0.334361,0.643849,1
0.008019,2.010366,2.010366,0.000000,-6.090473,0.499527,0.720634,1
0.009011,2.089927,2.089927,0.000000,-6.089706,0.596210,0.698843,1
0.010009,2.144848,2.144848,0.000000,-6.088939,0.892972,0.705588,1
0.011009,2.175705,2.175705,0.000000,-6.087789,0.864772,0.672384,1
0.012008,2.184331,2.184331,0.000000,-6.087022,0.982940,0.674978,1
0.013011,2.173320,2.173320,0.000000,-6.085487,1.172277,0.666677,1
0.014016,2.145795,2.145795,0.000000,-6.084337,1.277017,0.674459,1
0.015011,2.105870,2.105870,0.000000,-6.082803,1.537523,0.646962,1
0.016008,2.057178,2.057178,0.000000,-6.081269,1.795343,0.624134,1
0.017008,2.003523,2.003523,0.000000,-6.079735,1.614063,0.593005,1
0.018007,1.948965,1.948965,0.000000,-6.077817,1.752373,0.536973,1
0.019005,1.897131,1.897131,0.000000,-6.075900,1.647633,0.503250,1
0.020004,1.851054,1.851054,0.000000,-6.073982,2.055849,0.415571,1
0.021004,1.813422,1.813422,0.000000,-6.071681,2.026307,0.472121,1
0.022004,1.786249,1.786249,0.000000,-6.069380,2.376782,0.467971,1
0.023004,1.770719,1.770719,0.000000,-6.067079,2.395581,0.452406,1
0.024004,1.767296,1.767296,0.000000,-6.064778,2.515091,0.433729,1
0.025004,1.775612,1.775612,0.000000,-6.062094,2.716514,0.478347,1
0.026006,1.794620,1.794620,0.000000,-6.059409,2.556719,0.477309,1
0.027007,1.822417,1.822417,0.000000,-6.056341,2.682943,0.484054,1
0.028009,1.856735,1.856735,0.000000,-6.053656,2.818567,0.479904,1
0.029009,1.894510,1.894510,0.000000,-6.050588,2.913907,0.557726,1
0.030010,1.932665,1.932665,0.000000,-6.047520,3.029389,0.597674,1
0.031008,1.967807,1.967807,0.000000,-6.044452,3.107273,0.605976,1
0.032008,1.996705,1.996705,0.000000,-6.041384,3.198584,0.696249,1
0.033011,2.016234,2.016234,0.000000,-6.037933,3.451033,0.583148,1
0.034006,2.023492,2.023492,0.000000,-6.034481,3.373150,0.626728,1
0.035005,2.016350,2.016350,0.000000,-6.030646,3.575915,0.610645,1
0.036004,1.993123,1.993123,0.000000,-6.027194,3.690054,0.562395,1
0.037005,1.952741,1.952741,0.000000,-6.023743,3.641713,0.584704,1
0.038004,1.895199,1.895199,0.000000,-6.019524,3.712882,0.617908,1
0.039004,1.821110,1.821110,0.000000,-6.015689,3.887448,0.487686,1
